table,project,sponsors,link
???,Fireberry Pi,"Best Use of the SparkPost API, Booz Allen Hamilton's Best Internet of Things (IoT) Hack, BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!), Northrop Grumman Best User Interface Utilizes Hardware and Software , OPIS Best Visualization of Hardware Collected Data",http://bitcamp16.devpost.com/submissions/52424-fireberry-pi
???,botcamp,"Best Hack to Serve College Park , MLH Best Beginner Hack",http://bitcamp16.devpost.com/submissions/52425-botcamp
???,InvesTone,"Math Works Best Hack Using MATLAB, BookHolders Best App/Program Using Internet Sourced Data, FINRA Music Challenge",http://bitcamp16.devpost.com/submissions/52426-investone
44A,ComboFUSE,"BookHolders Best App/Program Using Internet Sourced Data, BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!), Northrop Grumman Best User Interface Utilizes Hardware and Software ",http://bitcamp16.devpost.com/submissions/52427-combofuse
???,Panoramic Video for Augmented Reality,,http://bitcamp16.devpost.com/submissions/52428-panoramic-video-for-augmented-reality
???,PowerPack,MLH Best Developer Tool,http://bitcamp16.devpost.com/submissions/52429-powerpack
???,Helping Hands,"#BestMicrosoftHack, BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!)",http://bitcamp16.devpost.com/submissions/52430-helping-hands
???,CP Toitles,"Best Hack to Serve College Park , MLH Best Use of AWS, BookHolders Best App/Program Using Internet Sourced Data, MLH Best Domain Name from Domain.com",http://bitcamp16.devpost.com/submissions/52431-cp-toitles
???,formcheck,"BookHolders Best App/Program Using Internet Sourced Data, Northrop Grumman Best User Interface Utilizes Hardware and Software , OPIS Best Visualization of Hardware Collected Data",http://bitcamp16.devpost.com/submissions/52432-formcheck
???,ConnectWear,,http://bitcamp16.devpost.com/submissions/52433-connectwear
???,PeterPantry,"Best use of Capital One's API, MLH Best Beginner Hack, BookHolders Best App/Program Using Internet Sourced Data",http://bitcamp16.devpost.com/submissions/52436-peterpantry
44C,Cranky Coaster,"Booz Allen Hamilton's Best Internet of Things (IoT) Hack, MLH Best Domain Name from Domain.com, BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!), Best Use of Intel Edison , Northrop Grumman Best User Interface Utilizes Hardware and Software , OPIS Best Visualization of Hardware Collected Data",http://bitcamp16.devpost.com/submissions/52444-cranky-coaster
???,Luuma,"FINRA Music Challenge, Oculus Best Use of VR",http://bitcamp16.devpost.com/submissions/52445-luuma
